"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,7.0,100.0,124.0,"MYC_51_63","P01106",-4.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,8.0,5.0,124.0,"PP2AB_297_309","P62714",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,8.0,10.0,124.0,"PP2AB_297_309","P62714",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,8.0,25.0,124.0,"PP2AB_297_309","P62714",3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,8.0,50.0,124.0,"PP2AB_297_309","P62714",4.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,8.0,100.0,124.0,"PP2AB_297_309","P62714",6.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,9.0,5.0,124.0,"RBL2_655_667","Q08999",10.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,9.0,10.0,124.0,"RBL2_655_667","Q08999",25.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,9.0,25.0,124.0,"RBL2_655_667","Q08999",66.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,9.0,50.0,124.0,"RBL2_655_667","Q08999",133.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,9.0,100.0,124.0,"RBL2_655_667","Q08999",267.0,0.0
